Command: 50 2000-01-01 2022-02-05
#Execution;Time taken;Hit rate
1;0.894720;0.000000
2;0.884590;0.000000
3;0.879936;0.000000
4;0.899867;0.000000
5;0.884440;0.000000
6;0.873706;0.000000
7;0.877240;0.000000
8;0.874586;0.000000
9;0.875408;0.000000
10;0.881693;0.000000

Command: 10000 2000-01-01 2022-02-05
#Execution;Time taken;Hit rate
1;30.375043;0.902200
2;29.977606;0.902200
3;30.106429;0.902200
4;30.097018;0.902200
5;30.120081;0.902200
6;30.501403;0.902200
7;30.144625;0.902200
8;30.507047;0.902200
9;30.147361;0.902200
10;30.464562;0.902200
