Command: 100 JavaScript
#Execution;Time taken;Hit rate
1;2.058616;0.160000
2;2.052315;0.160000
3;2.073140;0.160000
4;2.037168;0.160000
5;2.041130;0.160000
6;2.031249;0.160000
7;2.031965;0.160000
8;2.020795;0.160000
9;2.014686;0.160000
10;2.019245;0.160000

Command: 10000 Java
#Execution;Time taken;Hit rate
1;32.553244;0.986900
2;32.402205;0.986900
3;32.439507;0.986900
4;32.247808;0.986900
5;32.432693;0.986900
6;32.228143;0.986900
7;32.192471;0.986900
8;32.042312;0.986900
9;32.160041;0.986900
10;31.943344;0.986900
