Command: 30 2015-01-01
#Execution;Time taken;Hit rate
1;0.383827;1.000000
2;0.398716;1.000000
3;0.394120;1.000000
4;0.392522;1.000000
5;0.405885;1.000000
6;0.402564;1.000000
7;0.398722;1.000000
8;0.393755;1.000000
9;0.394123;1.000000
10;0.392476;1.000000

Command: 500 2016-01-01
#Execution;Time taken;Hit rate
1;0.316498;1.000000
2;0.317198;1.000000
3;0.321309;1.000000
4;0.318524;1.000000
5;0.322457;1.000000
6;0.320302;1.000000
7;0.321132;1.000000
8;0.321350;1.000000
9;0.320406;1.000000
10;0.315975;1.000000
