Command: 100
#Execution;Time taken;Hit rate
1;2.098239;1.000000
2;2.051976;1.000000
3;2.041528;1.000000
4;2.025861;1.000000
5;2.029763;1.000000
6;2.027637;1.000000
7;2.120301;1.000000
8;2.121594;1.000000
9;2.011405;1.000000
10;2.004440;1.000000

Command: 10000
#Execution;Time taken;Hit rate
1;31.388178;0.160900
2;31.984443;0.160900
3;31.958006;0.160900
4;31.983938;0.160900
5;31.439536;0.160900
6;32.047555;0.160900
7;32.237607;0.160900
8;31.970070;0.160900
9;31.456583;0.160900
10;32.022033;0.160900
